X, Y, Class
-4.382914,-23.383121,13.000000,1.000000
-4.438550,-32.741255,31.000000,1.000000
-7.818027,-5.622050,15.000000,1.000000
-12.571425,4.278816,17.000000,1.000000
30.115760,-1.417233,12.000000,1.000000
5.516131,0.504375,21.000000,1.000000
-5.431683,8.026591,16.000000,1.000000
-17.141534,-16.388255,32.000000,1.000000
31.727032,-0.980871,12.000000,1.000000
12.092380,-2.602022,6.000000,1.000000
6.267631,2.589538,12.000000,1.000000
2.561428,-26.051003,0.000000,1.000000
-11.421627,-1.221187,1.000000,1.000000
-6.110306,-16.399820,9.000000,1.000000
6.041337,-4.282789,15.000000,1.000000
-4.531483,2.749255,16.000000,1.000000
-14.549059,-8.618515,18.000000,1.000000
-0.972253,5.577448,20.000000,1.000000
-21.165306,1.382209,8.000000,1.000000
-6.401082,29.190993,16.000000,1.000000
5.340402,-28.428933,18.000000,1.000000
-12.400005,-18.833717,7.000000,1.000000
4.769276,1.941100,2.000000,1.000000
0.388639,12.945245,16.000000,1.000000
2.052462,18.620791,11.000000,1.000000
9.240273,23.473972,30.000000,1.000000
15.669960,20.770867,27.000000,1.000000
-10.901793,-3.713807,1.000000,1.000000
18.077224,20.687751,30.000000,1.000000
23.192597,4.267940,5.000000,1.000000
-18.255097,18.391841,1.000000,1.000000
2.489508,3.854864,5.000000,1.000000
-5.234560,14.534422,30.000000,1.000000
-4.716958,-19.355478,26.000000,1.000000
-17.073798,-13.622899,1.000000,1.000000
13.063203,18.632356,30.000000,1.000000
0.244399,6.147404,7.000000,1.000000
-2.875542,3.876818,25.000000,1.000000
-2.238794,15.610386,11.000000,1.000000
2.917701,-9.722268,21.000000,1.000000
-8.236132,18.558922,16.000000,1.000000
0.306579,2.434396,16.000000,1.000000
-18.781901,16.477067,1.000000,1.000000
15.006827,13.781169,22.000000,1.000000
-19.881977,20.112425,1.000000,1.000000
-3.979257,19.091473,11.000000,1.000000
-3.636990,-12.107735,29.000000,1.000000
16.333586,-0.090918,15.000000,1.000000
-15.904728,20.649939,1.000000,1.000000
-2.635277,20.764111,0.000000,1.000000
-11.452302,13.616714,1.000000,1.000000
-16.733247,18.172927,1.000000,1.000000
21.873982,4.763423,5.000000,1.000000
-14.328495,15.016609,1.000000,1.000000
-3.535208,6.647576,20.000000,1.000000
-13.861852,-1.027991,1.000000,1.000000
-3.557058,19.038443,11.000000,1.000000
-13.860342,20.038153,1.000000,1.000000
-11.934385,-4.616850,1.000000,1.000000
13.388917,9.067993,22.000000,1.000000
-10.362117,14.238728,1.000000,1.000000
-3.195724,-0.564400,3.000000,1.000000
8.084193,13.799582,11.000000,1.000000
-10.680382,14.986785,1.000000,1.000000
9.825180,-26.545561,29.000000,1.000000
15.593958,19.136385,30.000000,1.000000
-5.859442,12.317412,11.000000,1.000000
-2.536862,9.503877,11.000000,1.000000
-12.474855,-1.198092,1.000000,1.000000
13.433963,19.951877,30.000000,1.000000
7.535621,19.302380,7.000000,1.000000
-2.961631,21.187754,7.000000,1.000000
-9.685754,-3.882047,1.000000,1.000000
-4.217879,11.774246,11.000000,1.000000
-4.311054,-2.916505,24.000000,1.000000
-16.095557,17.330058,1.000000,1.000000
-17.879849,27.568502,24.000000,1.000000
3.992628,2.658540,25.000000,1.000000
15.672756,-16.829342,4.000000,1.000000
11.455772,17.525591,30.000000,1.000000
26.666625,12.866223,22.000000,1.000000
-11.669275,-7.075063,1.000000,1.000000
14.992967,17.446315,30.000000,1.000000
-5.944151,-19.048272,26.000000,1.000000
-1.439365,-9.025775,12.000000,1.000000
-14.322456,18.695118,1.000000,1.000000
8.917045,13.308038,22.000000,1.000000
-15.367355,19.325620,1.000000,1.000000
-8.446141,-13.488811,7.000000,1.000000
3.103267,13.090034,16.000000,1.000000
-30.829338,9.443248,8.000000,1.000000
-22.696864,18.933685,1.000000,1.000000
17.656179,15.794414,22.000000,1.000000
-19.280281,5.465146,9.000000,1.000000
-2.568958,-3.097417,0.000000,1.000000
